strategy_a,strategy_b,num_games,avg_turns,max_turns_observed,first_strategy_win_rate,no_winner_rate,strategy_a_wins,strategy_b_wins,strategy_a_win_rate,strategy_b_win_rate
random,random,1200,85.95916666666666,157,1.0,0.0,1200,1200,1.0,1.0
random,furthest,2400,76.68375,126,0.5158333333333334,0.0,564,1836,0.235,0.765
random,double_capture_furthest,2400,80.58583333333333,146,0.5025,0.0,120,2280,0.05,0.95
random,capture_double_furthest,2400,81.11791666666667,169,0.49875,0.0,97,2303,0.04041666666666666,0.9595833333333333
random,conservative,2400,83.34458333333333,154,0.5125,0.0,200,2200,0.08333333333333333,0.9166666666666666
furthest,furthest,1200,69.31,102,1.0,0.0,1200,1200,1.0,1.0
furthest,double_capture_furthest,2400,73.08125,128,0.5058333333333334,0.0,574,1826,0.23916666666666667,0.7608333333333334
furthest,capture_double_furthest,2400,73.72083333333333,125,0.5125,0.0,528,1872,0.22,0.78
furthest,conservative,2400,72.80958333333334,119,0.5066666666666667,0.0,646,1754,0.26916666666666667,0.7308333333333333
double_capture_furthest,double_capture_furthest,1200,83.07416666666667,160,1.0,0.0,1200,1200,1.0,1.0
double_capture_furthest,capture_double_furthest,2400,85.01625,169,0.5041666666666667,0.0,1142,1258,0.47583333333333333,0.5241666666666667
double_capture_furthest,conservative,2400,84.18375,177,0.5104166666666666,0.0,1443,957,0.60125,0.39875
capture_double_furthest,capture_double_furthest,1200,86.375,161,1.0,0.0,1200,1200,1.0,1.0
capture_double_furthest,conservative,2400,85.40583333333333,166,0.5154166666666666,0.0,1515,885,0.63125,0.36875
conservative,conservative,1200,81.36166666666666,129,1.0,0.0,1200,1200,1.0,1.0
